date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:42:50	16250/16250	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:50%20GMT	http://ucjeps.berkeley.edu/IJM_fam_key.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_fam_key.html	(from )
08:42:50	3489/3489	---M--	200	added ('OK')	text/plain	etag:%2223624a0-da1-4fb105a11b100%22	http://ucjeps.berkeley.edu/robots.txt		(from )
08:42:51	8380/8380	---M--	200	added ('OK')	text/css	etag:%2224c2836-20bc-4eff5adef26c0%22	http://ucjeps.berkeley.edu/common/styles/style_main_tjm2.css	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/common/styles/style_main_tjm2.css	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:51	43/43	---M--	200	added ('OK')	image/gif	etag:%2224c2717-2b-47790c4d2fc00%22	http://ucjeps.berkeley.edu/common/images/common_spacer.gif	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/common/images/common_spacer.gif	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:52	9789/9789	---M--	200	added ('OK')	image/png	etag:%2224c274b-263d-44b3f1825dcc0%22	http://ucjeps.berkeley.edu/common/images/logo_jeps_80.png	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/common/images/logo_jeps_80.png	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Mar%202016%2016:42:51%20GMT	http://ucjeps.berkeley.edu/IJM.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM.4.delayed	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:52	15641/15641	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:51%20GMT	http://ucjeps.berkeley.edu/jeps/	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/jeps/index.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:52	5971/5971	---M--	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:52%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group1.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group1.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:54	34690/34690	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:52%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group2.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group2.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:54	22638/22638	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:52%20GMT	http://ucjeps.berkeley.edu/eflora/	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/eflora/index.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:54	15262/15262	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:53%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group3.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group3.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:54	8732/8732	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:54%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group4.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group4.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:54	13270/13270	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:54%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group5.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group5.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:55	20088/20088	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:54%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group6.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group6.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:56	29540/29540	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:54%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group7.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group7.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:57	23293/23293	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:55%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group8.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group8.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:58	26557/26557	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:56%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group9.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group9.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:59	16210/16210	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:57%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group10.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group10.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:42:59	9821/9821	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:58%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group11.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group11.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:00	22236/22236	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:59%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group12.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group12.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:00	11773/11773	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:42:59%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group13.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group13.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:01	14276/14276	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:00%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group14.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group14.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:02	22684/22684	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:00%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group15.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group15.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:03	25710/25710	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:01%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group16.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group16.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:03	11384/11384	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:02%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group17.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group17.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:03	16087/16087	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:03%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group18.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group18.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:04	30284/30284	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:03%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group19.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group19.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:05	24266/24266	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:03%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group20.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group20.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:06	14011/14011	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:04%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group21.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group21.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:06	11041/11041	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:05%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group22.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group22.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:07	16039/16039	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:06%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group23.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group23.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:08	12509/12509	---M--	200	added ('OK')	text/css	etag:%2224c051c-30dd-52ceb594dcecf%22	http://ucjeps.berkeley.edu/common/styles/dropdowns.css	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/common/styles/dropdowns.css	(from http://ucjeps.berkeley.edu/eflora/)
08:43:08	23426/23426	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:06%20GMT	http://ucjeps.berkeley.edu/IJM_keys/IJM_key_Group24.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/IJM_keys/IJM_key_Group24.html	(from http://ucjeps.berkeley.edu/IJM_fam_key.html)
08:43:11	19307/19307	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:08%20GMT	http://ucjeps.berkeley.edu/main/collections.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/main/collections.html	(from http://ucjeps.berkeley.edu/eflora/)
08:43:12	38393/38393	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2016:43:08%20GMT	http://ucjeps.berkeley.edu/main/directory.html	C:/My%20Web%20Sites/Jepson/ucjeps.berkeley.edu/main/directory.html	(from http://ucjeps.berkeley.edu/eflora/)
